日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-01-05,3.13,3.26,3.09,3.23,0.11,3.53,1204459,38476,5.45,2.25
2015-01-06,3.22,3.24,3.15,3.20,-0.03,-0.93,883882,28268,2.79,1.65
2015-01-07,3.19,3.26,3.16,3.24,0.04,1.25,741986,23860,3.13,1.39
2015-01-08,3.23,3.24,3.11,3.13,-0.11,-3.40,635278,20033,4.01,1.19
2015-01-09,3.10,3.15,3.06,3.08,-0.05,-1.60,664821,20647,2.88,1.24
2015-01-12,3.05,3.05,2.92,2.95,-0.13,-4.22,703233,20978,4.22,1.32
2015-01-13,2.93,2.95,2.88,2.92,-0.03,-1.02,534662,15579,2.37,1.00
2015-01-14,2.92,2.93,2.84,2.86,-0.06,-2.05,373269,10770,3.08,0.70
2015-01-15,2.86,2.96,2.84,2.96,0.10,3.50,449564,13053,4.20,0.84
2015-01-16,2.97,3.01,2.96,3.00,0.04,1.35,443057,13233,1.69,0.83
2015-01-19,2.91,2.94,2.70,2.73,-0.27,-9.00,692227,19409,8.00,1.30
2015-01-20,2.75,2.82,2.75,2.82,0.09,3.30,433936,12107,2.56,0.81
2015-01-21,2.82,2.91,2.80,2.91,0.09,3.19,496541,14258,3.90,0.93
2015-01-22,2.92,3.00,2.88,2.96,0.05,1.72,689425,20383,4.12,1.29
2015-01-23,2.95,2.96,2.90,2.91,-0.05,-1.69,518476,15192,2.03,0.97
2015-01-26,2.90,2.96,2.88,2.96,0.05,1.72,438469,12858,2.75,0.82
2015-01-27,2.96,2.97,2.88,2.94,-0.02,-0.68,442014,12938,3.04,0.83
2015-01-28,2.95,2.95,2.91,2.92,-0.02,-0.68,294413,8620,1.36,0.55
2015-01-29,2.91,2.97,2.88,2.94,0.02,0.68,522045,15295,3.08,0.98
2015-01-30,2.93,2.94,2.89,2.90,-0.04,-1.36,346492,10096,1.70,0.65
2015-02-02,2.86,2.86,2.78,2.81,-0.09,-3.10,334043,9411,2.76,0.63
2015-02-03,2.80,2.84,2.79,2.83,0.02,0.71,299985,8436,1.78,0.56
2015-02-04,2.83,2.91,2.82,2.87,0.04,1.41,518005,14917,3.18,0.97
2015-02-05,2.89,2.90,2.80,2.81,-0.06,-2.09,346188,9830,3.48,0.65
2015-02-06,2.79,2.79,2.67,2.68,-0.13,-4.63,390116,10625,4.27,0.73
2015-02-09,2.68,2.70,2.58,2.66,-0.02,-0.75,418499,11017,4.48,0.78
2015-02-10,2.64,2.70,2.63,2.70,0.04,1.50,244317,6534,2.63,0.46
2015-02-11,2.70,2.74,2.70,2.72,0.02,0.74,212094,5770,1.48,0.40
2015-02-12,2.71,2.75,2.70,2.74,0.02,0.74,214867,5864,1.84,0.40
2015-02-13,2.74,2.89,2.74,2.85,0.11,4.01,502053,14199,5.47,0.94
2015-02-16,2.85,2.88,2.83,2.86,0.01,0.35,305721,8734,1.75,0.57
2015-02-17,2.87,2.90,2.87,2.90,0.04,1.40,383482,11074,1.05,0.72
2015-02-25,2.89,2.94,2.89,2.90,0.00,0.00,331077,9634,1.72,0.62
2015-02-26,2.89,2.93,2.83,2.93,0.03,1.03,454003,13148,3.45,0.85
2015-02-27,2.93,2.95,2.91,2.94,0.01,0.34,452147,13275,1.37,0.85
2015-03-02,2.96,3.13,2.93,3.06,0.12,4.08,955862,29160,6.80,1.79
2015-03-03,3.05,3.05,2.96,2.97,-0.09,-2.94,604090,18145,2.94,1.13
2015-03-04,2.96,3.03,2.95,3.02,0.05,1.68,423291,12712,2.69,0.79
2015-03-05,3.01,3.01,2.95,2.97,-0.05,-1.66,376466,11196,1.99,0.70
2015-03-06,2.95,2.99,2.93,2.97,0.00,0.00,379220,11240,2.02,0.71
2015-03-09,2.96,2.98,2.92,2.98,0.01,0.34,345703,10176,2.02,0.65
2015-03-10,2.97,3.00,2.95,2.99,0.01,0.34,322552,9619,1.68,0.60
2015-03-11,2.99,3.00,2.95,2.97,-0.02,-0.67,304994,9076,1.67,0.57
2015-03-12,2.98,2.99,2.95,2.99,0.02,0.67,326072,9691,1.35,0.61
2015-03-13,2.99,3.03,2.98,3.03,0.04,1.34,694239,20907,1.67,1.30
2015-03-16,3.04,3.09,3.03,3.09,0.06,1.98,724552,22236,1.98,1.36
2015-03-17,3.10,3.27,3.09,3.24,0.15,4.85,1681104,53872,5.83,3.15
2015-03-18,3.24,3.49,3.21,3.42,0.18,5.56,1904110,64284,8.64,3.56
2015-03-19,3.41,3.41,3.30,3.34,-0.08,-2.34,1527020,51175,3.22,2.37
2015-03-20,3.34,3.45,3.34,3.42,0.08,2.40,1339036,45626,3.29,2.08
2015-03-23,3.45,3.76,3.44,3.76,0.34,9.94,2978549,110249,9.36,4.63
2015-03-24,3.80,4.14,3.77,4.14,0.38,10.11,4364993,175459,9.84,6.78
2015-03-25,4.24,4.24,4.00,4.02,-0.12,-2.90,3054151,124211,5.80,4.75
2015-03-26,4.01,4.08,3.85,3.93,-0.09,-2.24,1661405,65690,5.72,2.58
2015-03-27,3.91,3.99,3.84,3.92,-0.01,-0.25,1212750,47234,3.82,1.88
