日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,9.54,9.84,9.47,9.68,0.14,1.47,29650,2877,3.88,0.55
2014-01-03,9.70,9.74,9.49,9.59,-0.09,-0.93,17229,1647,2.58,0.32
2014-01-06,9.54,9.64,9.23,9.25,-0.34,-3.55,18748,1757,4.28,0.35
2014-01-07,9.25,9.32,9.06,9.16,-0.09,-0.97,15551,1423,2.81,0.29
2014-01-08,9.09,9.24,8.75,8.88,-0.28,-3.06,29238,2627,5.35,0.54
2014-01-09,8.85,8.94,8.63,8.68,-0.20,-2.25,24308,2147,3.49,0.45
2014-01-10,8.65,8.68,8.27,8.47,-0.21,-2.42,31865,2683,4.72,0.59
2014-01-13,8.45,8.55,8.30,8.39,-0.08,-0.94,16837,1418,2.95,0.31
2014-01-14,8.35,8.49,8.31,8.47,0.08,0.95,18899,1590,2.15,0.35
2014-01-15,8.48,8.72,8.48,8.60,0.13,1.53,23444,2018,2.83,0.43
2014-01-16,8.54,8.98,8.52,8.86,0.26,3.02,33750,2958,5.35,0.63
2014-01-17,8.73,8.83,8.65,8.68,-0.18,-2.03,17455,1520,2.03,0.32
2014-01-20,8.56,8.68,8.46,8.58,-0.10,-1.15,13022,1114,2.53,0.24
2014-01-21,8.53,8.68,8.51,8.67,0.09,1.05,12250,1055,1.98,0.23
2014-01-22,8.65,8.87,8.63,8.85,0.18,2.08,24567,2160,2.77,0.46
2014-01-23,8.81,8.85,8.69,8.75,-0.10,-1.13,23584,2064,1.81,0.44
2014-01-24,8.76,9.08,8.69,9.05,0.30,3.43,46463,4169,4.46,0.86
2014-01-27,9.00,9.05,8.85,8.93,-0.12,-1.33,30341,2702,2.21,0.56
2014-01-28,8.95,8.96,8.81,8.83,-0.10,-1.12,18161,1611,1.68,0.34
2014-01-29,8.87,9.01,8.82,8.97,0.14,1.59,20425,1828,2.15,0.38
2014-01-30,8.92,8.99,8.58,8.65,-0.32,-3.57,21859,1910,4.57,0.41
2014-02-07,8.65,9.29,8.65,9.19,0.54,6.24,52370,4773,7.40,0.97
2014-02-10,9.27,9.96,9.27,9.94,0.75,8.16,107288,10485,7.51,1.99
2014-02-11,9.82,9.91,9.69,9.82,-0.12,-1.21,66243,6493,2.21,1.23
2014-02-12,9.82,10.20,9.70,9.88,0.06,0.61,81850,8155,5.09,1.52
2014-02-13,9.87,10.08,9.72,9.79,-0.09,-0.91,47360,4688,3.64,0.88
2014-02-14,9.67,9.86,9.65,9.83,0.04,0.41,31271,3054,2.15,0.58
2014-02-17,9.94,9.95,9.78,9.86,0.03,0.31,39523,3888,1.73,0.73
2014-02-18,9.84,10.21,9.70,10.14,0.28,2.84,72835,7236,5.17,1.35
2014-02-19,10.00,10.28,9.97,10.10,-0.04,-0.39,63737,6451,3.06,1.18
2014-02-20,10.10,10.24,9.90,9.99,-0.11,-1.09,49357,4979,3.37,0.91
2014-02-21,10.01,10.44,9.99,10.06,0.07,0.70,71968,7351,4.50,1.33
2014-02-24,9.94,9.95,9.21,9.50,-0.56,-5.57,60374,5749,7.36,1.12
2014-02-25,9.40,9.44,9.05,9.09,-0.41,-4.32,55712,5147,4.11,1.03
2014-02-26,9.05,9.39,8.88,9.31,0.22,2.42,56694,5167,5.61,1.05
2014-02-27,9.34,9.68,9.08,9.23,-0.08,-0.86,53795,5063,6.44,1.00
2014-02-28,9.09,9.70,8.91,9.66,0.43,4.66,62749,5862,8.56,1.16
2014-03-03,9.61,10.07,9.50,9.89,0.23,2.38,76375,7458,5.90,1.42
2014-03-04,9.75,10.70,9.70,10.37,0.48,4.85,157264,16175,10.11,2.91
2014-03-05,10.20,10.29,9.93,10.01,-0.36,-3.47,78766,7938,3.47,1.46
2014-03-06,10.00,10.15,9.80,10.00,-0.01,-0.10,47152,4700,3.50,0.87
2014-03-07,10.02,10.26,9.87,9.92,-0.08,-0.80,49891,5012,3.90,0.92
2014-03-10,9.75,9.89,9.15,9.17,-0.75,-7.56,51465,4880,7.46,0.95
2014-03-11,9.17,9.36,9.10,9.29,0.12,1.31,28042,2594,2.84,0.52
2014-03-12,9.29,9.40,9.13,9.36,0.07,0.75,25486,2373,2.91,0.47
2014-03-13,9.40,9.57,9.33,9.36,0.00,0.00,26854,2535,2.56,0.50
2014-03-14,9.35,9.57,9.21,9.47,0.11,1.18,25458,2403,3.85,0.47
2014-03-17,9.47,9.75,9.47,9.66,0.19,2.01,33795,3259,2.96,0.63
2014-03-18,9.54,9.72,9.53,9.72,0.06,0.62,33114,3199,1.97,0.61
2014-03-19,9.63,9.79,9.40,9.74,0.02,0.21,60736,5827,4.01,1.13
2014-03-20,9.71,9.76,9.30,9.33,-0.41,-4.21,47902,4584,4.72,0.89
2014-03-21,9.25,9.62,9.21,9.53,0.20,2.14,35978,3409,4.39,0.67
2014-03-24,9.56,9.73,9.54,9.66,0.13,1.36,35720,3453,1.99,0.66
2014-03-25,9.66,9.88,9.59,9.68,0.02,0.21,39397,3836,3.00,0.73
2014-03-26,9.70,9.80,9.58,9.63,-0.05,-0.52,27710,2670,2.27,0.51
2014-03-27,9.61,9.65,9.40,9.44,-0.19,-1.97,30678,2918,2.60,0.57
2014-03-28,9.33,9.56,9.10,9.14,-0.30,-3.18,31267,2926,4.87,0.58
2014-03-31,9.29,9.35,9.11,9.19,0.05,0.55,22152,2044,2.63,0.41
2014-04-01,9.19,9.26,9.05,9.23,0.04,0.44,20816,1908,2.29,0.39
2014-04-02,9.19,9.41,9.19,9.29,0.06,0.65,25779,2404,2.38,0.48
2014-04-03,9.35,9.35,9.18,9.22,-0.07,-0.75,27090,2505,1.83,0.50
2014-04-04,9.18,9.35,9.18,9.26,0.04,0.43,15452,1434,1.84,0.29
2014-04-08,9.26,9.40,9.26,9.36,0.10,1.08,28873,2701,1.51,0.54
2014-04-09,9.36,9.51,9.34,9.47,0.11,1.18,31802,2994,1.82,0.59
2014-04-10,9.45,9.60,9.43,9.46,-0.01,-0.11,34723,3302,1.80,0.64
2014-04-11,9.41,9.50,9.35,9.41,-0.05,-0.53,21243,2004,1.59,0.39
2014-04-14,9.47,9.70,9.39,9.69,0.28,2.98,45690,4378,3.29,0.85
2014-04-15,9.64,10.66,9.60,10.12,0.43,4.44,232015,23967,10.94,4.30
2014-04-16,9.88,10.42,9.75,10.40,0.28,2.77,200960,20337,6.62,3.72
2014-04-17,10.28,10.44,9.98,10.11,-0.29,-2.79,94177,9614,4.42,1.75
2014-04-18,10.01,10.27,9.98,9.99,-0.12,-1.19,58107,5859,2.87,1.08
2014-04-21,9.85,10.23,9.81,9.97,-0.02,-0.20,55248,5565,4.20,1.02
2014-04-22,9.89,10.08,9.60,9.86,-0.11,-1.10,50370,4944,4.81,0.93
2014-04-23,9.84,9.88,9.64,9.76,-0.10,-1.01,32829,3202,2.43,0.61
2014-04-24,9.71,9.87,9.61,9.62,-0.14,-1.43,29499,2868,2.66,0.55
2014-04-25,9.60,9.66,8.99,9.00,-0.62,-6.44,58871,5455,6.96,1.09
2014-04-28,9.00,9.12,8.64,8.75,-0.25,-2.78,42556,3787,5.33,0.79
2014-04-29,8.76,9.10,8.69,9.03,0.28,3.20,26536,2352,4.69,0.49
2014-04-30,9.05,9.08,8.90,8.93,-0.08,-0.89,19586,1760,2.00,0.36
2014-05-05,8.93,9.09,8.82,9.00,0.07,0.78,20462,1826,3.02,0.38
2014-05-06,9.02,9.18,8.94,9.17,0.17,1.89,23958,2178,2.67,0.44
2014-05-07,9.18,9.18,8.88,8.89,-0.28,-3.05,19375,1746,3.27,0.36
2014-05-08,8.89,9.03,8.72,8.88,-0.01,-0.11,16554,1476,3.49,0.31
2014-05-09,8.84,8.95,8.79,8.86,-0.02,-0.23,17782,1571,1.80,0.33
2014-05-12,8.93,9.16,8.91,9.14,0.28,3.16,25349,2295,2.82,0.47
2014-05-13,9.10,9.35,9.08,9.17,0.03,0.33,31512,2892,2.95,0.58
2014-05-14,9.20,9.23,9.03,9.07,-0.10,-1.09,15415,1401,2.18,0.29
