日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,5.60,5.64,5.53,5.60,0.05,0.90,73260,4098,1.98,0.83
2014-01-03,5.58,5.58,5.27,5.28,-0.32,-5.71,120263,6438,5.54,1.37
2014-01-06,5.30,5.30,5.15,5.16,-0.12,-2.27,61505,3195,2.84,0.70
2014-01-07,5.15,5.25,5.06,5.16,0.00,0.00,42098,2178,3.68,0.48
2014-01-08,5.13,5.21,5.05,5.11,-0.05,-0.97,51858,2656,3.10,0.59
2014-01-09,5.10,5.23,5.06,5.07,-0.04,-0.78,45124,2317,3.33,0.51
2014-01-10,5.05,5.06,4.93,4.96,-0.11,-2.17,60692,3021,2.56,0.69
2014-01-13,4.97,5.04,4.85,4.88,-0.08,-1.61,35926,1771,3.83,0.41
2014-01-14,4.88,4.96,4.85,4.95,0.07,1.43,34025,1671,2.25,0.39
2014-01-15,4.95,4.96,4.88,4.92,-0.03,-0.61,30906,1516,1.62,0.35
2014-01-16,4.94,5.05,4.90,5.02,0.10,2.03,54242,2714,3.05,0.62
2014-01-17,4.99,5.00,4.83,4.88,-0.14,-2.79,38782,1904,3.39,0.44
2014-01-20,4.88,4.92,4.85,4.90,0.02,0.41,26775,1306,1.43,0.30
2014-01-21,4.90,4.97,4.85,4.89,-0.01,-0.20,47030,2304,2.45,0.54
2014-01-22,4.90,5.08,4.88,5.08,0.19,3.89,92710,4645,4.09,1.06
2014-01-23,5.08,5.10,5.00,5.04,-0.04,-0.79,61789,3112,1.97,0.70
2014-01-24,5.05,5.14,5.01,5.10,0.06,1.19,62852,3193,2.58,0.72
2014-01-27,5.06,5.22,5.02,5.19,0.09,1.76,83771,4324,3.92,0.95
2014-01-28,5.17,5.26,5.13,5.24,0.05,0.96,62065,3222,2.50,0.71
2014-01-29,5.25,5.26,5.17,5.22,-0.02,-0.38,36821,1918,1.72,0.42
2014-01-30,5.21,5.27,5.12,5.19,-0.03,-0.57,51596,2679,2.87,0.59
2014-02-07,5.13,5.25,5.13,5.24,0.05,0.96,53000,2758,2.31,0.60
2014-02-10,5.25,5.55,5.24,5.47,0.23,4.39,113393,6148,5.92,1.29
2014-02-11,5.49,5.75,5.45,5.60,0.13,2.38,118440,6645,5.48,1.35
2014-02-12,5.58,5.67,5.50,5.61,0.01,0.18,79718,4436,3.04,0.91
2014-02-13,5.61,6.03,5.53,5.85,0.24,4.28,267166,15641,8.91,3.04
2014-02-14,5.83,5.96,5.77,5.85,0.00,0.00,129100,7561,3.25,1.47
2014-02-17,5.90,5.99,5.82,5.93,0.08,1.37,137055,8090,2.91,1.56
2014-02-18,5.91,5.96,5.74,5.93,0.00,0.00,224453,13021,3.71,2.56
2014-02-19,5.89,6.24,5.85,6.12,0.19,3.20,333051,20407,6.58,3.79
2014-02-20,6.35,6.73,6.22,6.23,0.11,1.80,485775,31274,8.33,5.53
2014-02-21,6.22,6.41,6.12,6.28,0.05,0.80,234897,14662,4.65,2.67
2014-02-24,6.28,6.68,6.23,6.59,0.31,4.94,392214,25464,7.17,4.47
2014-02-25,6.61,6.71,6.21,6.22,-0.37,-5.61,351987,22846,7.59,4.01
2014-02-26,6.30,6.69,6.21,6.68,0.46,7.40,393825,25476,7.72,4.48
2014-02-27,6.66,6.98,6.40,6.48,-0.20,-2.99,445329,29821,8.68,5.07
2014-02-28,6.35,6.46,5.83,6.09,-0.39,-6.02,373772,22754,9.72,4.26
2014-03-03,6.10,6.70,6.04,6.70,0.61,10.02,621176,40875,10.84,7.07
2014-03-04,6.68,6.88,6.60,6.80,0.10,1.49,502787,33952,4.18,5.72
2014-03-05,6.83,6.91,6.60,6.66,-0.14,-2.06,235845,15842,4.56,2.69
2014-03-06,6.63,6.83,6.45,6.68,0.02,0.30,248434,16479,5.71,2.83
2014-03-07,6.68,6.74,6.45,6.47,-0.21,-3.14,197777,12954,4.34,2.25
2014-03-10,6.47,6.64,6.27,6.33,-0.14,-2.16,211027,13657,5.72,2.40
2014-03-11,6.34,6.56,6.25,6.38,0.05,0.79,191961,12312,4.90,2.19
2014-03-12,6.38,6.54,6.27,6.45,0.07,1.10,162030,10379,4.23,1.84
2014-03-13,6.33,6.44,6.08,6.17,-0.28,-4.34,265736,16560,5.58,3.03
2014-03-14,6.09,6.11,5.83,5.89,-0.28,-4.54,264609,15774,4.54,3.01
2014-03-17,5.85,6.05,5.85,6.05,0.16,2.72,133992,8006,3.40,1.53
2014-03-18,6.08,6.19,6.05,6.11,0.06,0.99,132637,8140,2.31,1.51
2014-03-19,6.14,6.28,6.10,6.24,0.13,2.13,133229,8261,2.95,1.52
2014-03-20,6.24,6.34,6.04,6.06,-0.18,-2.88,147281,9159,4.81,1.68
2014-03-21,6.05,6.41,5.96,6.33,0.27,4.46,191204,11929,7.43,2.18
2014-03-24,6.36,6.61,6.33,6.42,0.09,1.42,204435,13189,4.42,2.33
2014-03-25,6.41,6.91,6.38,6.60,0.18,2.80,369249,24598,8.26,4.20
2014-03-26,6.66,6.72,6.53,6.64,0.04,0.61,168164,11112,2.88,1.91
2014-03-27,6.61,6.82,6.55,6.69,0.05,0.75,261480,17472,4.07,2.98
2014-03-28,6.75,7.14,6.73,6.79,0.10,1.49,420454,29176,6.13,4.79
2014-03-31,6.85,6.96,6.15,6.26,-0.53,-7.81,339899,21853,11.93,3.87
2014-04-01,6.22,6.36,6.20,6.31,0.05,0.80,116095,7286,2.56,1.32
2014-04-02,6.31,6.32,6.07,6.14,-0.17,-2.69,131956,8160,3.96,1.50
2014-04-03,6.16,6.20,6.10,6.19,0.05,0.81,65938,4053,1.63,0.75
2014-04-04,6.20,6.34,6.20,6.31,0.12,1.94,90163,5677,2.26,1.03
2014-04-08,6.27,6.46,6.26,6.45,0.14,2.22,104161,6658,3.17,1.19
2014-04-09,6.48,6.59,6.44,6.52,0.07,1.09,112478,7318,2.33,1.28
2014-04-10,6.54,6.66,6.54,6.55,0.03,0.46,143845,9492,1.84,1.64
2014-04-11,6.56,6.71,6.50,6.65,0.10,1.53,140128,9281,3.21,1.60
2014-04-14,6.65,6.68,6.54,6.63,-0.02,-0.30,110669,7282,2.11,1.26
2014-04-15,6.61,6.61,6.44,6.49,-0.14,-2.11,117423,7658,2.56,1.34
2014-04-16,6.45,6.52,6.40,6.46,-0.03,-0.46,84007,5430,1.85,0.96
2014-04-17,6.48,6.59,6.45,6.52,0.06,0.93,109178,7134,2.17,1.24
2014-04-18,6.50,6.56,6.41,6.52,0.00,0.00,95671,6209,2.30,1.09
2014-04-21,6.45,6.52,6.32,6.39,-0.13,-1.99,147971,9477,3.07,1.68
2014-04-22,6.32,6.41,6.02,6.30,-0.09,-1.41,136147,8510,6.10,1.55
2014-04-23,6.26,6.26,6.10,6.13,-0.17,-2.70,99265,6127,2.54,1.13
2014-04-24,6.09,6.13,6.01,6.02,-0.11,-1.79,86700,5250,1.96,0.99
2014-04-25,6.06,6.10,5.86,5.87,-0.15,-2.49,74420,4460,3.99,0.85
2014-04-28,5.85,5.85,5.51,5.58,-0.29,-4.94,91799,5179,5.79,1.05
2014-04-29,5.59,5.73,5.57,5.72,0.14,2.51,53982,3045,2.87,0.61
2014-04-30,5.73,5.96,5.68,5.94,0.22,3.85,76246,4454,4.90,0.87
2014-05-05,5.92,6.05,5.88,6.01,0.07,1.18,54311,3244,2.86,0.62
2014-05-06,6.03,6.16,5.97,6.03,0.02,0.33,66832,4054,3.16,0.76
2014-05-07,5.99,6.09,5.93,5.99,-0.04,-0.66,59558,3577,2.65,0.68
2014-05-08,5.93,6.05,5.91,5.96,-0.03,-0.50,47334,2834,2.34,0.54
2014-05-09,5.99,5.99,5.74,5.80,-0.16,-2.68,62418,3649,4.19,0.71
2014-05-12,5.89,5.98,5.83,5.96,0.16,2.76,54842,3250,2.59,0.62
2014-05-13,5.95,5.97,5.89,5.93,-0.03,-0.50,30731,1820,1.34,0.35
2014-05-14,5.94,6.04,5.87,6.03,0.10,1.69,69381,4154,2.87,0.79
2014-05-15,6.01,6.03,5.88,5.89,-0.14,-2.32,59265,3530,2.49,0.67
2014-05-16,5.89,5.95,5.84,5.95,0.06,1.02,28712,1694,1.87,0.33
2014-05-19,5.96,5.97,5.82,5.87,-0.08,-1.34,31798,1867,2.52,0.36
2014-05-20,5.93,5.96,5.80,5.83,-0.04,-0.68,41620,2444,2.73,0.47
2014-05-21,5.76,5.86,5.66,5.84,0.07,1.21,36498,2103,3.47,0.42
2014-05-22,5.84,5.93,5.80,5.83,-0.01,-0.17,44150,2590,2.23,0.50
2014-05-23,5.83,5.89,5.80,5.89,0.06,1.03,31349,1833,1.54,0.36
2014-05-26,5.90,5.94,5.87,5.92,0.03,0.51,34827,2054,1.19,0.40
2014-05-27,5.91,5.91,5.86,5.87,-0.05,-0.84,26519,1560,0.84,0.30
2014-05-28,5.86,5.89,5.77,5.87,0.00,0.00,54069,3148,2.04,0.62
2014-05-29,5.86,5.95,5.80,5.85,-0.02,-0.34,72557,4261,2.56,0.83
2014-05-30,5.83,5.85,5.76,5.79,-0.06,-1.03,42504,2469,1.54,0.48
2014-06-03,5.79,5.83,5.72,5.73,-0.06,-1.04,42864,2475,1.90,0.49
2014-06-04,5.72,5.75,5.58,5.63,-0.10,-1.75,46770,2644,2.97,0.53
2014-06-05,5.59,5.69,5.58,5.69,0.06,1.07,27962,1578,1.95,0.32
2014-06-06,5.67,5.73,5.61,5.66,-0.03,-0.53,28117,1597,2.11,0.32
2014-06-09,5.64,5.67,5.56,5.58,-0.08,-1.41,34150,1915,1.94,0.39
2014-06-10,5.59,5.82,5.58,5.75,0.17,3.05,80505,4626,4.30,0.92
2014-06-11,5.73,5.88,5.70,5.83,0.08,1.39,49965,2901,3.13,0.57
2014-06-12,5.82,5.84,5.74,5.75,-0.08,-1.37,39824,2301,1.72,0.45
2014-06-13,5.80,5.81,5.73,5.78,0.03,0.52,31978,1846,1.39,0.36
2014-06-16,5.78,5.85,5.76,5.83,0.05,0.87,53395,3095,1.56,0.61
2014-06-17,5.81,5.81,5.67,5.69,-0.14,-2.40,45462,2604,2.40,0.52
2014-06-18,5.68,5.68,5.58,5.58,-0.11,-1.93,48927,2743,1.76,0.56
2014-06-19,5.58,5.61,5.30,5.40,-0.18,-3.23,45693,2501,5.56,0.52
2014-06-20,5.45,5.55,5.41,5.48,0.08,1.48,29946,1643,2.59,0.34
2014-06-23,5.48,5.56,5.46,5.51,0.03,0.55,30421,1674,1.82,0.35
2014-06-24,5.52,5.56,5.48,5.53,0.02,0.36,21878,1210,1.45,0.25
2014-06-25,5.51,5.52,5.45,5.46,-0.07,-1.27,25169,1377,1.27,0.29
2014-06-26,5.46,5.54,5.45,5.52,0.06,1.10,28744,1583,1.65,0.33
2014-06-27,5.54,5.59,5.50,5.55,0.03,0.54,32020,1776,1.63,0.36
2014-06-30,5.55,5.63,5.53,5.61,0.06,1.08,44693,2495,1.80,0.51
2014-07-01,5.59,5.62,5.56,5.60,-0.01,-0.18,34888,1948,1.07,0.40
2014-07-02,5.60,5.66,5.57,5.65,0.05,0.89,48004,2696,1.61,0.55
2014-07-03,5.62,5.74,5.60,5.70,0.05,0.89,52032,2956,2.48,0.59
2014-07-04,5.77,5.79,5.71,5.74,0.04,0.70,58298,3348,1.40,0.66
2014-07-07,5.72,5.78,5.63,5.70,-0.04,-0.70,49601,2826,2.61,0.56
2014-07-08,5.76,5.84,5.71,5.77,0.07,1.23,85825,4956,2.28,0.98
2014-07-09,5.77,5.77,5.56,5.62,-0.15,-2.60,57740,3286,3.64,0.66
2014-07-10,5.64,5.64,5.53,5.55,-0.07,-1.25,54266,3025,1.96,0.62
2014-07-11,5.56,5.64,5.55,5.57,0.02,0.36,44744,2501,1.62,0.51
2014-07-14,5.59,5.64,5.54,5.63,0.06,1.08,48699,2724,1.80,0.55
2014-07-15,5.63,5.69,5.59,5.68,0.05,0.89,65733,3703,1.78,0.75
2014-07-16,5.66,5.69,5.61,5.63,-0.05,-0.88,37166,2098,1.41,0.42
2014-07-17,5.61,5.66,5.52,5.55,-0.08,-1.42,55218,3081,2.49,0.63
2014-07-18,5.56,5.61,5.54,5.57,0.02,0.36,25383,1417,1.26,0.29
2014-07-21,5.58,5.58,5.52,5.54,-0.03,-0.54,26513,1470,1.08,0.30
2014-07-22,5.54,5.61,5.54,5.60,0.06,1.08,43074,2406,1.26,0.49
2014-07-23,5.60,5.64,5.54,5.56,-0.04,-0.71,43038,2403,1.79,0.49
2014-07-24,5.57,5.61,5.56,5.60,0.04,0.72,41549,2322,0.90,0.47
2014-07-25,5.60,5.66,5.60,5.66,0.06,1.07,56326,3171,1.07,0.64
